品牌,型号,颜色,价格,CPU,内存,电池容量,操作系统,摄影,好评率
华为,华为Ascend D2（D2-5000/16GB/移动版）,机身颜色晶石白色，锆石蓝色  ,2000,CPU型号海思K3V2,2GB 16GB ,3000mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：130万像素传感器类型CMOS闪光灯LED补光灯,7.3星
华为,华为CHT8000,机身颜色黑色，白色  ,停产,空,,空,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS,10.0星
华为,华为U9510E（Ascend D1 四核 XL）,机身颜色黑色  ,2000,CPU型号海思K3V2 Hi3620,1GB 8GB ,2600mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：130万像素传感器类型CMOS闪光灯LED补光灯（双）,8.4星
华为,华为U8160,机身颜色白色  ,980,CPU型号高通 骁龙Snapdragon MSM7225,高通 骁龙Snapdragon MS RAM容量 ,空,操作系统安卓,摄像头摄像头总数1像素200万像素传感器类型CMOS,7.1星
华为,华为Y220T（移动版）,机身颜色黑色  ,290,1.0GHz,256MB 256MB ,1500mAh,操作系统安卓,摄像头摄像头总数1像素300万像素传感器类型CMOS,6.0星
华为,华为C2808,机身颜色黑色  ,240,空,,1050mAh,操作系统安卓,nan,无评价
华为,华为U9510（Ascend D1 四核）,机身颜色黑色，白色  ,2699,CPU型号海思K3V2 Hi3620,1GB 8GB ,1800mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：130万像素传感器类型CMOS闪光灯LED补光灯（双）,8.4星
华为,华为U3100,机身颜色黑色  ,370,空,,1000mAh,操作系统安卓,nan,8.0星
华为,华为T1600,机身颜色古典黑色，古典白色，时尚粉色  ,停产,空,,950mAh,操作系统安卓,摄像头摄像头总数1像素30万像素传感器类型CMOS,9.1星
华为,华为C6100,机身颜色黑色  ,停产,空,,空,操作系统安卓,摄像头摄像头总数1像素200万像素传感器类型CMOS,无评价
华为,华为G7002,机身颜色黑色  ,停产,空,,空,操作系统安卓,摄像头摄像头总数1像素130万像素传感器类型CMOS,无评价
华为,华为U8180 X1,机身颜色黑色  ,停产,CPU型号高通 骁龙Snapdragon MSM7225,高通 骁龙Snapdragon MS RAM容量 512MB ,空,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS,无评价
华为,华为Ascend G6（联通版）,机身颜色黑色，白色，粉红色，金色，蓝色  ,850,CPU型号高通 骁龙Snapdragon MSM8212,后置摄像头1 4GB ,2000mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：500万像素光圈传感器类型背照式/BSI CMOS（一代/二代/Exmor R）闪光灯LED补光灯,8.0星
华为,华为Ascend G350,机身颜色黑色  ,569,CPU型号高通 骁龙Snapdragon MSM8225,后置摄像头1 4GB ,1730mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS闪光灯LED补光灯,6.5星
华为,华为Ascend G6（移动版）,机身颜色黑色，白色，粉红色，金色，蓝色  ,800,CPU型号联发科 MT6582M,1GB 4GB ,2000mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：500万像素光圈传感器类型背照式/BSI CMOS（一代/二代/Exmor R）闪光灯LED补光灯其他摄像头参数蓝玻璃镜面,8.0星
华为,华为Ascend G526,机身颜色白色  ,停产,空,后置摄像头1 4GB ,1950mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS,8.0星
