品牌,型号,颜色,价格,CPU,内存,电池容量,操作系统,摄影,好评率
红米,Redmi K60电竞版,机身颜色冰斩，暗影，银翼  ,概念产品,CPU型号高通 骁龙8 Gen1,12GB 128GB ,4700mAh,操作系统MIUI 13,摄像头摄像头总数4摄像头名称后置摄像头1：主摄后置摄像头2：超广角镜头后置摄像头3：微距镜头前置摄像头1：主摄像素后置摄像头1：6400万像素后置摄像头2：800万像素后置摄像头3：200万像素前置摄像头1：2000万像素传感器尺寸1/1.73广角120°后置视频拍摄4K（3840×2160，60帧/秒，30帧/秒）视频录制 1080p（1920×1080，120帧/秒，60帧/秒，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制1080p（1920×1080，120帧/秒）慢动作视频录制720p（1280×720，960帧/秒，240帧/秒，120帧/秒）慢动作视频录制前置视频拍摄1080p（1920×1080，60帧/秒，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制720p（1280×720，120帧/秒）慢动作视频录制传感器类型1/1.73英寸CMOS闪光灯LED补光灯,无评价
红米,Redmi Note 11E Pro（6GB/128GB/5G版）,"机身颜色夜海琉璃,时光独白,神秘黑境  ",1699,CPU型号高通 骁龙695,6GB 128GB ,5000mAh,操作系统MIUI 13,摄像头摄像头总数4摄像头名称后置主摄：主摄后置超广角镜头：超广角镜头后置微距镜头：微距镜头前置主摄：主摄像素后置主摄：1.08亿像素后置超广角镜头：800万像素后置微距镜头：200万像素前置主摄：1600万像素传感器尺寸1/1.52广角后置超广角镜头：118°前置主摄：后置：118°后置视频拍摄1080p（1920×1080，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制镜头片数后置：6P前置视频拍摄1080p（1920×1080，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制传感器类型1/1.52英寸CMOS闪光灯LED补光灯,9.3星
红米,Redmi Note 10 Pro Max（全网通）,机身颜色复古青铜，冰川蓝，黑夜  ,暂无报价,CPU型号高通 骁龙732G,6GB/8GB 64GB/128GB ,5020mAh,操作系统MIUI 12,"摄像头摄像头总数5摄像头名称后置主摄：主摄后置超级微距镜头：超级微距镜头后置超广角镜头：超广角镜头后置景深镜头：景深镜头前置主摄：主摄像素后置主摄：1.08亿像素后置超级微距镜头：500万像素后置超广角镜头：800万像素后置景深镜头：200万像素前置主摄：1600万像素光圈后置主摄：后置超级微距镜头：后置超广角镜头：后置景深镜头：前置主摄：广角118°后置拍照功能2倍焦距，支持智能OIS6400万超清模式，HDR，夜间模式2.0，魔术克隆照片后置视频拍摄视频Beautify，延时摄影，专业视频模式4K（3840x2160，30帧/秒）视频录制1080p（1920×1080，30帧/秒、60帧/秒）视频录制720p（1280×720，30帧/秒）视频录制1080p（1920×1080，120帧/秒）慢动作视频录制720p（1280×720，120帧/秒、240帧/秒、960帧/秒）慢动作视频录制1080p（1920×1080，30帧/秒）超广角视频录制720p（1280×720，30帧/秒）超广角视频录制前置短片，慢动作，时间流逝1080p（1920×1080，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制前置拍照功能夜间模式，全景图，美化，肖像传感器类型CMOS闪光灯LED补光灯其他摄像头参数后置主摄：2,1μm，九合一超级像素前置：1.0μm",8.0星
红米,Redmi K50S,机身颜色墨羽，银迹，幽芒，幻镜  ,概念产品,CPU型号高通 骁龙8+ Gen1,12GB 256GB ,5500mAh,操作系统MIUI13,"摄像头摄像头总数4摄像头名称后置主摄：主摄后置超广角镜头：超广角镜头后置微距镜头：微距镜头前置主摄：主摄像素后置主摄：4800万像素后置超广角镜头：800万像素后置微距镜头：200万像素前置主摄：2000万像素传感器尺寸1/2防抖功能后置主摄：OIS光学防抖后置超广角镜头：OIS光学防抖,OIS光学防抖后置微距镜头：OIS光学防抖,OIS光学防抖,OIS光学防抖广角119°后置视频拍摄4K（3840×2160，30帧/秒）视频录制 1080p（1920×1080，60帧/秒，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制慢动作1080p（1920×1080，120帧/秒）视频录制慢动作720p（1280×720，960帧/秒，240帧/秒，120帧/秒）视频录制前置视频拍摄1080p（1920×1080，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制慢动作720p（1280×720，120帧/秒）视频录制传感器类型1/2英寸CMOS闪光灯LED补光灯",无评价
红米,Redmi Note 9 Pro Max（6GB/64GB/全网通）,机身颜色极光蓝，冰川白，星际黑  ,暂无报价,CPU型号高通 骁龙720G,6GB/8GB 64GB/128GB ,5020mAh,操作系统MIUI 11,摄像头摄像头总数5摄像头名称后置主摄：主摄后置超广角镜头：超广角镜头后置微距镜头：微距镜头后置景深镜头：景深镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角镜头：800万像素后置微距镜头：500万像素后置景深镜头：200万像素前置主摄：3200万像素光圈后置主摄：后置超广角镜头：广角119°后置视频拍摄视频Beautify，延时摄影，专业视频模式，电影帧，超稳定前置1080p（1920×1080，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制慢动作录像（120fps）前置拍照功能HDR ，前置摄像头显示屏亮度校正 自拍计时器，人脸识别，魔镜，年龄识别，全屏摄像头框架，眼灯，AI美化，AI功能调整，AI妆，AI人像模式，AI场景检测，AI演播室照明，万花筒传感器类型CMOS闪光灯LED补光灯其他摄像头参数后置主摄：1/1.7英寸，1.6μm，4合1超广角镜头：1.12μm微距镜头：1.12μm景深镜头：1.75μm前置主摄：1.6μm，4合1,4.0星
红米,Redmi 20X（全网通/5G版） ,机身颜色凝夜紫，深海蓝，胧月金，星露白  ,概念产品,空,后置主摄 128GB ,5000mAh,操作系统MIUI 12,摄像头摄像头总数4摄像头名称后置主摄：主摄后置广角镜头：广角镜头后置景深镜头：景深镜头像素后置主摄：4800万像素后置广角镜头：800万像素后置景深镜头：200万像素传感器类型CMOS闪光灯LED补光灯,无评价
红米,Redmi Go（全网通）,,暂无报价,空,后置摄像头1 8GB ,3200mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：500万像素传感器类型CMOS,无评价
红米,Redmi 8A Pro（3GB/32GB/全网通）,机身颜色蓝色，灰色，白色  ,709,CPU型号高通 骁龙439,3GB 32GB ,5000mAh,操作系统MIUI 11,摄像头摄像头总数2像素后置摄像头1：1300万像素后置摄像头2：200万像素前置摄像头1：800万像素光圈后置摄像头1：后置摄像头2：前置摄像头1：后置拍照功能PDAF相位对焦，人像模式，背景虚化，标准 HDRAuto HDR，连拍模式，面部识别传感器类型CMOS（单位像素面积为1.4μm）闪光灯LED补光灯其他摄像头参数后置1300万镜头：1.12μm后置200万镜头：1.75μm前置镜头：1.12μm,无评价
红米,Redmi K50S Pro,机身颜色墨羽，银迹，幽芒，幻镜  ,概念产品,CPU型号高通 骁龙8+ Gen1,12GB 256GB ,5500mAh,操作系统MIUI13,"摄像头摄像头总数4摄像头名称后置主摄：主摄后置超广角镜头：超广角镜头后置微距镜头：微距镜头前置主摄：主摄像素后置主摄：4800万像素后置超广角镜头：800万像素后置微距镜头：200万像素前置主摄：2000万像素传感器尺寸1/2防抖功能后置主摄：OIS光学防抖后置超广角镜头：OIS光学防抖,OIS光学防抖后置微距镜头：OIS光学防抖,OIS光学防抖,OIS光学防抖广角119°后置视频拍摄4K（3840×2160，30帧/秒）视频录制 1080p（1920×1080，60帧/秒，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制慢动作1080p（1920×1080，120帧/秒）视频录制慢动作720p（1280×720，960帧/秒，240帧/秒，120帧/秒）视频录制前置视频拍摄1080p（1920×1080，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制慢动作720p（1280×720，120帧/秒）视频录制传感器类型1/2英寸CMOS闪光灯LED补光灯",10.0星
红米,Redmi K20 Pro（6GB/64GB/全网通）,机身颜色碳纤黑，冰川蓝  ,2198,CPU型号高通 骁龙855,6GB 64GB ,4000mAh,操作系统安卓,摄像头摄像头总数4摄像头名称后置广角镜头：广角镜头后置超广角镜头：超广角镜头后置长焦镜头：长焦镜头前置主摄：主摄像素后置广角镜头：4800万像素后置超广角镜头：1300万像素后置长焦镜头：800万像素前置主摄：2000万像素光圈后置广角镜头：，，前置主摄：后置视频拍摄4K（3840x2160，30fps/60fps）视频录制前置拍照功能美颜+美型+美妆+眼睛光，全能美颜传感器类型后置：1/2″μm，1/3″μm，1/4″μm型传感器闪光灯单色温双闪光灯其他摄像头参数960帧慢动作拍摄，960帧智能配乐，短视频塑形，后置视频美颜，视频防抖，运动跟拍功能与服务感应器距离传感器，屏下环境光传感器，陀螺仪，电子罗盘，加速传感器，摄像头激光对焦感应器音频支持支持MIDI/MP3/AAC等格式视频支持支持MP4/3GP/AVC/AVI/MPEG-4等格式图片支持支持JPEG等格式游戏功能8层石墨立体散热，双面散热，Game Turbo 2.0，吃鸡自带夜视仪,7.2星
红米,Redmi Note 8（4GB/64GB/全网通）,机身颜色梦幻蓝，曜石黑，皓月白，星云紫  ,899,CPU型号高通 骁龙665,4GB 64GB ,4000mAh,操作系统MIUI 10,摄像头摄像头总数5摄像头名称后置主摄：主摄后置广角镜头：广角镜头后置微距镜头：微距镜头后置景深镜头：景深镜头前置主摄：主摄像素后置主摄：4800万像素后置广角镜头：800万像素后置微距镜头：200万像素后置景深镜头：200万像素前置主摄：1300万像素光圈后置主摄：后置广角镜头：后置微距镜头：后置景深镜头：前置主摄：广角后置主摄：主摄镜79.4°后置广角镜头：广角镜120°前置主摄：78.1°后置拍照功能4800万超清拍照，智能超广角模式，后置美颜，手持超级夜景模式，人像模式背景虚化，全景模式，专业模式，倒计时拍照，水平仪，连拍模式，面部识别，HDR，超广角边缘畸变校正，自定义水印，人像虚化调节，全屏画幅，后置AI场景相机（27种标签），微距相机前置前置美颜，屏幕补光，AI人景分离，人脸识别后置视频拍摄4K（3840x2160，30帧/秒）视频录制1080p（1920×1080，30帧/秒、60帧/秒）视频录制720p（1280×720，30帧/秒）视频录制1080p（120帧/秒）慢动作拍摄720p（120帧/秒、240帧/秒）慢动作拍摄前置拍照功能滤镜，倒计时自拍，自拍镜像，手势自拍，全景自拍，人像模式，虚化调节，全屏画幅前置视频拍摄1080p（1920×1080，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制传感器类型1/2”型传感器闪光灯LED补光灯（单色温）其他摄像头参数照片分辨率：8000×6000像素后置：48MP：0.8μm，AF，支持4in1（12MP，1.6μm）8MP：1.12μm2MP：1.75μm，AF2MP：1.75μm前置：13MP：1.12μm,9.9星
红米,Redmi K40 轻奢版,,概念产品,CPU型号联发科 天玑1100,8GB 128GB ,5065mAh,操作系统MIUI 12.5,摄像头摄像头总数4摄像头名称后置主摄：主摄后置超广角镜头：超广角镜头后置微距镜头：微距镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角镜头：800万像素后置微距镜头：200万像素前置主摄：1600万像素光圈后置主摄：后置超广角镜头：后置微距镜头：广角120°后置拍照功能AI水印，萌拍，魔法分身，定格分身，文档拍摄模式，AI相机，身份证影印模式，动态照片（livephoto），人像美颜，电影分辨率，超级夜景，街拍模式，连续对焦，人脸识别，数码变焦，专业raw格式，视频HDR，前后双景，延时摄影，语音转字幕，视频标签，录像时拍照，录像暂停，录像美颜，电影滤镜，双摄视频虚化前置AI水印，萌拍，语音快门，前置夜景，定时拍照，电影分辨率，屏幕补光，AI人景分离，人脸识别 ，动态照片（livephoto），AI美颜，音量键倒计时拍照，人像模式后置视频拍摄4K（3840×2160，30帧/秒）视频录制 1080p（1920×1080，60帧/秒，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制慢动作1080p（1920×1080，120帧/秒）视频录制慢动作720p（1280×720，960帧/秒，240帧/秒，120帧/秒）视频录制前置拍照功能全景，视频HDR，前后双景，延时摄影，语音转字幕，视频标签，录像时拍照，录像暂停，录像美颜，电影滤镜，视频虚化前置视频拍摄1080p（1920×1080，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制慢动作720p（1280×720，120帧/秒）视频录制传感器类型CMOS闪光灯LED补光灯其他摄像头参数支持 4in1 1.4μm 像素输出,10.0星
红米,Redmi Note 8 Pro（8GB/128GB/全网通）,机身颜色冰翡翠，贝母白，电光灰，暮光橙  ,1499,CPU型号联发科 Helio G90T,8GB 128GB ,4500mAh,操作系统MIUI 10,"摄像头摄像头总数5摄像头名称后置主摄：主摄后置超广角镜头：超广角镜头后置微距镜头：微距镜头后置景深镜头：景深镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角镜头：800万像素后置微距镜头：200万像素后置景深镜头：200万像素前置主摄：2000万像素光圈后置主摄：后置超广角镜头：前置主摄：广角后置主摄：主摄79°后置超广角镜头：广角镜120°后置拍照功能支持6400万超清模式，超级夜景，AI场景相机5.0，智能超广角模式，超广角边缘畸变校正，AI美颜，连拍模式，街拍模式，移轴模式，水平仪，自定义水印，专业模式，人像背景虚化调节，3D光效，全景模式，AI超分辨率拍照，一键换天前置前置全景，手势拍照，AI人景分离，前置HDR后置视频拍摄微距视频，超广角视频，短视频（抖音魔法道具，抖音特效需后期OTA），960帧慢动作，延时摄影，视频美颜4K（3840x2160，30帧/秒）视频录制1080p（1920×1080，30帧/秒、60帧/秒）视频录制720p（1280×720，30帧/秒）视频录制1080p（120帧/秒）慢动作拍摄720p（120帧/秒、240帧/秒、960帧/秒）慢动作拍摄1080p（120帧/秒）超广角拍摄720p（120帧/秒、240帧/秒、960帧/秒）超广角拍摄前置拍照功能屏幕补光，面部识别功能，AI智能美颜，AI人像模式，AI场景相机，AI影棚光效前置视频拍摄视频美颜 | 短视频（抖音魔法道具，抖音特效需后期OTA）1080p（1920×1080，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制传感器类型1/1.7""型传感器闪光灯LED补光灯（双）其他摄像头参数照片分辨率：最大支持9248×6936像素摄像分辨率：最大支持3840×2160像素后置：64MP：0.8μm，暗光环境4 in 1 1.6μm大像素（1600万像素）8MP：1.12μm2MP：1.75μm2MP：1.75μm前置：20MP：0.9μm",9.8星
红米,Redmi K30S（8GB/128GB/全网通/5G版/至尊纪念版）,机身颜色星际黑，月光银  ,2099,CPU型号高通 骁龙865,8GB 128GB ,5000mAh,操作系统MIUI 12,摄像头摄像头总数4摄像头名称后置主摄：主摄后置超广角镜头：超广角镜头后置微距镜头：微距镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角镜头：1300万像素后置微距镜头：500万像素前置主摄：2000万像素微距7cmcm广角123°后置拍照功能魔法分身，前后双景，AI魔法万花筒，AI相机，超级夜景2.0，文档模式，电影模式，身份证影印模式，萌拍，运动跟拍，延时摄影，人像模式，全景模式，专业模式，动态照片，倒计时拍照，水平仪，连拍模式，面部识别，HDR，AI美颜，宝宝美颜，AI智能瘦身，超广角边缘畸变矫正，合影人脸修正，自定义水印，人像虚化调节，动态光斑，AI影棚光效，AI超分辨率拍照，AI水印，长曝光，定时连拍，声控拍照前置前后双景，萌拍，电影模式，人像模式，3D美妆美型，前置全景，手势拍照，前置HDR后置视频拍摄8K（24帧/秒，30帧/秒）视频录制 4K（30帧/秒，60帧/秒）视频录制1080p（30帧/秒，60帧/秒，120帧/秒，240帧/秒，960帧/秒）视频录制720p（30帧/秒，120帧/秒，240帧/秒，960帧/秒）视频录制前置拍照功能屏幕补光，倒计时拍照，AI智能美颜，宝宝美颜，AI微整形，AI裸妆美颜，AI影棚光效，AI水印，定时连拍，声控拍照，延时摄影前置视频拍摄1080p（30帧/秒）视频录制720p（30帧/秒，120帧/秒）视频录制闪光灯LED补光灯其他摄像头参数1/1.7″超大感光元件，1.6μm4合1超大像素，AI边缘防畸变,9.5星
红米,Redmi K20 Pro（12GB/512GB/全网通/尊享版）,机身颜色碳纤黑，水之蜜语，火焰红，冰川蓝，酷黑机甲  ,4399,CPU型号高通 骁龙855 Plus,12GB 512GB ,4000mAh,操作系统MIUI 10,摄像头摄像头总数4摄像头名称后置主摄：主摄后置超广角镜头：超广角镜头后置长焦镜头：长焦镜头前置主摄：主摄像素后置主摄：4800万像素后置超广角镜头：1300万像素后置长焦镜头：800万像素前置主摄：2000万像素光圈后置主摄：后置超广角镜头：后置长焦镜头：前置主摄：广角后置主摄：79.4°后置超广角镜头：124.8°后置长焦镜头：44.6°传感器型号后置主摄：索尼IMX586后置超广角镜头：S5K3L6后置长焦镜头：OV8856后置拍照功能4800万超清，智能超广角模式，月亮模式，手持超级夜景模式，人像模式背景虚化，全景模式，专业模式，倒计时拍照，水平仪，连拍模式，面部识别，HDR，动态照片，千人千面的 AI 美颜（增加宝宝美颜），AI智能瘦身，超广角边缘畸变校正，合影人脸修正，自定义水印，人像全身模式，人像虚化调节，全屏画幅，后置AI场景相机（27种标签），AI动态光斑，AI影棚光效，AI超分辨率拍照前置前置全景，手势拍照，AI人景分离，广角畸变矫正算法，前置HDR后置视频拍摄4K（3840x2160，30fps/60fps）视频录制1080p（1920×1080，30fps/60fps）视频录制720p（1280×720，30fps/60fps）视频录制1080p（1920×1080，120fps/240fps/960fps）慢动作录制720p（1280×720，120fps/240fps/960fps）慢动作录制前置拍照功能屏幕补光，倒计时自拍，面部识别功能，魔镜功能，年龄性别识别丨全屏画幅，梦幻眼神光，AI 智能美颜（增加宝宝美颜），AI微整形美颜，AI裸妆美颜，AI人像模式，AI场景相机，AI影棚光效变焦模式2倍光学变焦，10倍数字变焦对焦方式激光对焦，相位对焦，反差对焦前置视频拍摄1080p（1920×1080，30fps）视频录制720p（1280×720，30fps）视频录制传感器类型CMOS闪光灯LED单色温补光灯（双）其他摄像头参数照片分辨率后置：8000×6000像素前置：氛围灯，蓝宝石玻璃盖板前置升降式摄像头功能与服务感应器距离传感器，屏下环境光传感器，陀螺仪，电子罗盘，加速传感器，摄像头激光对焦感应器音频支持支持MIDI/MP3/AAC等格式，0.9cc超大音腔设计，Smart PA 10V Boost升压大音量外放，1217 Xmax 0.4mm大振幅超线性扬声器视频支持支持MP4/M4V/MKV/XVID/WAV/AAC/MP3/AMR/FLAC/APE等格式，支持新一代视频编解码技术HEVC、H.264、MPEG4、VC-1、VP8、VP9等视频格式图片支持支持JPEG等格式其他功能支持Game Turbo 2.0指纹识别快捷功能支持：微信付款码，微信扫一扫，小爱同学，支付宝扫一扫，支付宝付款码指纹识别付款支持：小爱同学捷径 指纹解锁支付，FOD 快捷方式 指纹解锁支付，Mi Pay银联碰一碰，Mi Pay线上支付，Mi Pay银行卡支付,8.3星
红米,Redmi Note 7（3GB RAM/全网通）,机身颜色梦幻蓝，暮光金，亮黑色  ,999,CPU型号高通 骁龙660AIE,3GB 32GB ,4000mAh,操作系统安卓,摄像头摄像头总数3像素后置摄像头1：4800万像素后置摄像头2：500万像素前置摄像头1：1300万像素光圈后置拍照功能PDAF相位对焦，手持超级夜景，人像模式，背景虚化，暗光增强技术，标准HDR，Auto HDR，视频防抖(EIS)，连拍模式，全景模式前置AI人像模式，背景虚化，AI智能美颜，倒计时自拍，魔镜功能前置拍照功能HDR传感器类型CMOS闪光灯单色温闪光灯（双）其他摄像头参数1.6μm大像素（四合一）AI场景相机：后置：27种标签，238种场景识别前置：12种标签,8.6星
红米,Redmi Note 7 Pro（6GB RAM/全网通）,机身颜色梦幻蓝，暮光金，亮黑色，镜花水月  ,1238,CPU型号高通 骁龙675（MSM6150）,后置摄像头1 128GB ,4000mAh,操作系统MIUI 10,摄像头摄像头总数3像素后置摄像头1：4800万像素后置摄像头2：500万像素前置摄像头1：1300万像素光圈后置拍照功能PDAF相位对焦，手持超级夜景，人像模式，背景虚化，暗光增强技术，标准HDR，Auto HDR，视频防抖(EIS)，连拍模式，全景模式前置AI人像模式，背景虚化，AI智能美颜，倒计时自拍，魔镜功能前置拍照功能HDR传感器类型CMOS闪光灯单色温闪光灯（双）其他摄像头参数后摄：1.6μm大像素（四合一）19.5：9全尺寸画幅AI场景相机：后置：27种标签，238种场景识别，AI 动态光斑，AI 影棚光效，调节虚化强度前置：12种标签，AI 影棚光效,7.3星
红米,Redmi K30（6GB/128GB/全网通）,机身颜色紫玉幻境，深海微光，花影惊鸿  ,1498,CPU型号高通 骁龙730G,6GB 128GB ,4500mAh,操作系统MIUI 11,摄像头摄像头总数6摄像头名称后置主摄：主摄后置超广角镜头：超广角镜头后置超微距镜头：超微距镜头后置景深镜头：景深镜头前置主摄：主摄前置人像虚化镜头：人像虚化镜头像素后置主摄：6400万像素后置超广角镜头：800万像素后置超微距镜头：200万像素后置景深镜头：200万像素前置主摄：2000万像素前置人像虚化镜头：200万像素光圈后置主摄：后置超广角镜头：后置超微距镜头：后置景深镜头：广角后置主摄：79°后置超广角镜头：120°前置主摄：78°前置人像虚化镜头：83°后置拍照功能超清模式，超级夜景，电影模式，AI场景相机，AI超分辨率拍照，智能超广角模式，超广角边缘畸变校正，AI美颜（增加宝宝美颜），连拍模式，街拍模式，移轴模式，水平仪，自定义水印，专业模式，人像模式背景虚化， AI影棚光效，动态光斑，全景模式，魔法换天，10 倍数字变焦，自动对焦（相位对焦，反差对焦）前置电影人像，前置全景，手势拍照，前置 HDR后置视频拍摄4K（30帧/秒）视频录制 1080p（60帧/秒，30帧/秒）视频录制720p（30帧/秒）视频录制超广角1080P（30帧/秒）视频录制超广角720p（30帧/秒）视频录制慢动作1080P（120帧/秒）视频录制慢动作720p（960帧/秒，240帧/秒，120帧/秒）视频录制Vlog 视频，语音转字幕，微距视频，超广角视频，短视频运动跟拍，960 帧慢动作，延时摄影，视频美颜前置拍照功能屏幕补光，梦幻眼神光，AI智能美颜（增加宝宝美颜），AI人像模式，AI场景相机，AI影棚光效前置视频拍摄1080p（30帧/秒）视频录制720p（30帧/秒）视频录制视频美颜，短视频，短视频滤镜，语音转字幕闪光灯单色温双闪光灯其他摄像头参数后置：64MP：0.8μm，1/1.7”感光面积，支持4in11.6μm 大像素（1600万像素）8MP：1.12μm2MP：1.75μm，AF2MP，1.75μm照片分辨率：最大可支持9248×6944像素摄像分辨率：最大可支持3840×2160像素前置：20MP：0.8μm2MP：1.75μm,9.9星
红米,Redmi K20（6GB/64GB/全网通）,机身颜色火焰红，冰川蓝，碳纤黑  ,1798,CPU型号高通 骁龙730,6GB 64GB ,4000mAh,操作系统MIUI 10,摄像头摄像头总数4摄像头名称后置主摄：主摄后置超广角镜头：超广角镜头后置长焦：长焦前置主摄：主摄像素后置主摄：4800万像素后置超广角镜头：1300万像素后置长焦：800万像素前置主摄：2000万像素光圈后置主摄：，，前置主摄：后置视频拍摄4K（3840x2160，30fps/60fps）视频录制前置拍照功能美颜+美型+美妆+眼睛光，全能美颜传感器类型CMOS闪光灯单色温双闪光灯其他摄像头参数960帧慢动作拍摄，960帧智能配乐，短视频塑形，后置视频美颜，视频防抖，运动跟拍功能与服务感应器距离传感器，屏下环境光传感器，陀螺仪，电子罗盘，加速传感器，摄像头激光对焦感应器音频支持支持MIDI/MP3/AAC等格式视频支持支持MP4/3GP/AVC/AVI/MPEG-4等格式图片支持支持JPEG等格式,6.7星
红米,Redmi 7（4GB RAM/全网通）,机身颜色魅夜红，梦幻蓝，亮黑色  ,1099,CPU型号高通 骁龙632,4GB 64GB ,4000mAh,操作系统安卓,摄像头摄像头总数3像素后置摄像头1：1200万像素后置摄像头2：200万像素前置摄像头1：800万像素光圈后置拍照功能PDAF相位对焦，人像模式，后置美颜，夜景增强，标准HDR，软件视频防抖(EIS)，连拍模式，街拍模式，倒计时拍照，场景选择前置1.12um像素，前置美颜，人像模式前置拍照功能HDR，年龄检测，倒计时拍照传感器类型CMOS闪光灯LED补光灯（单色温）其他摄像头参数1.25μm大像素后置：27种AI场景识别,7.8星
红米,Redmi K30 Pro变焦版（8GB/128GB/全网通/5G版）,机身颜色月幕白，天际蓝，太空灰，星环紫  ,3899,CPU型号高通 骁龙865,8GB 128GB ,屏幕指纹识别，人脸识别 电池容量,操作系统MIUI 11,摄像头摄像头总数5摄像头名称后置主摄：主摄后置变焦镜头：变焦镜头后置长焦微距镜头：长焦微距镜头后置景深镜头：景深镜头前置主摄：主摄像素后置主摄：6400万像素后置变焦镜头：800万像素后置长焦微距镜头：1300万像素后置景深镜头：200万像素前置主摄：2000万像素光圈后置主摄：后置变焦镜头：后置长焦微距镜头：后置景深镜头：后置拍照功能6400万超清，AI相机，超级夜景2.0，文档模式，电影模式，身份证影印模式(需开启AI相机)，Mimoji萌拍，AI 8K视频拍摄，4K视频拍摄，VLOG视频，语音字幕，运动跟拍，延时摄影，视频虚化，视频滤镜，视频美颜，960 fps慢动作拍摄，微距视频拍摄，短视频录制，后置短视频塑形瘦身，人像模式背景虚化，全景模式，专业模式，动态照片，倒计时拍照，水平仪，连拍模式，面部识别，HDR，AI美颜，宝宝美颜，AI智能瘦身，超广角边缘畸变矫正，合影人脸修正，自定义水印，人像虚化调节，动态光斑，AI影棚光效，AI超分辨率拍照前置AI相机，语音字幕，Mimoji萌拍，视频虚化，视频滤镜，视频美颜，电影模式，前置慢动作，人像模式，3D美妆美型，前置全景，拍照全屏画幅，手势拍照，前置HDR后置视频拍摄8K（24帧/秒，30帧/秒）视频录制 4K（3840x2160，30帧/秒）视频录制1080p（1920x1080，30帧/秒）视频录制1080p（1920x1080，60帧/秒）视频录制720p（1280x720，30帧/秒）视频录制1080p（1920x1080，960帧/秒，240帧/秒，120帧/秒）慢动作视频录制720p（1280x720，960帧/秒，240帧/秒，120帧/秒）视频录制Vlog视频，语音转字幕，微距视频，超广角视频，短视频，运动跟拍，960 帧慢动作，延时摄影，视频美颜前置拍照功能屏幕补光，倒计时拍照，梦幻眼神光，AI智能美颜，宝宝美颜，AI微整形，AI裸妆美颜，AI影棚光效前置视频拍摄1080p（1920x1080，30帧/秒）视频录制720p（1280x720，120帧/秒）视频录制视频美颜，短视频，短视频滤镜，语音转字幕闪光灯单色温双闪光灯其他摄像头参数6400 万像素超清主摄：1/1.7″超大感光元件，OIS 光学防抖，1.6μm 4合1超大像素30倍变焦镜头：30 倍变焦，OIS光学防抖人像景深镜头：1.75 μm大像素前置升降式摄像头,9.0星
红米,Redmi 8（4GB/64GB/全网通）,机身颜色宝石蓝，仙踪绿，碳岩灰  ,799,CPU型号高通 骁龙439,4GB 64GB ,5000mAh,操作系统MIUI 10,摄像头摄像头总数3像素后置摄像头1：1200万像素后置摄像头2：1200万像素前置摄像头1：800万像素后置拍照功能PDAF相位对焦，连续对焦，人像模式，背景虚化，人像AI美颜，连拍模式，街拍模式，倒计时拍照，面部识别，标准HDR，Auto HDR前置屏幕补光，人脸识别，AI人像模式，背景虚化，AI智能美颜，音量下键倒计时拍照，自拍镜像，倒计时拍照，面部识别功能，倒计时自拍后置视频拍摄延时摄影，15S 短视频，短视频电影质感滤镜，闪光灯常亮，数码变焦前置拍照功能HDR前置视频拍摄15S短视频，短视频电影质感滤镜传感器类型CMOS闪光灯LED单色温闪光灯,8.5星
红米,Redmi 6A（2GB RAM/全网通）,机身颜色流沙金，铂银灰，樱花粉，巴厘蓝  ,498,CPU型号联发科 Helio A22,2GB 16GB ,3000mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素光圈后置摄像头1：前置摄像头1：后置拍照功能PDAF相位对焦，标准HDR，夜景增强技术，软件视频防抖（EIS）技术，连拍模式，街拍模式，场景选择，AI智能识物前置拍照功能人像模式，智能美颜，标准HDR，人脸解锁，年龄检测，倒计时自拍传感器类型CMOS闪光灯LED补光灯,7.6星
红米,Redmi 7A（2GB/16GB/全网通）,机身颜色磨砂黑，晨曦蓝，雾光金  ,518,CPU型号高通 骁龙SDM439,2GB 16GB ,4000mAh,操作系统MIUI 10,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素光圈传感器类型CMOS闪光灯单色温闪光灯,8.5星
